**** mosfets


 subckt                                              
 element  0:mn1      0:mn2      0:mp1      0:mp2     
 model    0:nmos214  0:nmos214  0:pmos214  0:pmos214 
 region     Saturati   Saturati   Saturati   Saturati
  id       432.0000u  432.0000u -432.0000u -432.0000u
  ibs        0.         0.         0.         0.     
  ibd        0.         0.         0.         0.     
  vgs      766.6948m  766.6948m -705.2893m -705.2893m
  vds      861.4055m  861.4055m -705.2893m -705.2893m
  vbs     -233.3052m -233.3052m    0.         0.     
  vth      539.3026m  539.3026m -473.1715m -473.1715m
  vdsat    175.9134m  175.9134m -201.5639m -201.5639m
  vod      227.3922m  227.3922m -232.1178m -232.1178m
  beta      19.6293m   19.6293m   16.4942m   16.4942m
  gam eff  584.1622m  584.1622m  535.9139m  535.9139m
  gm         3.4642m    3.4642m    3.4362m    3.4362m
  gds       70.9399u   70.9399u   99.4185u   99.4185u
  gmb      793.1022u  793.1022u    1.0741m    1.0741m
  cdtot     16.0389f   16.0389f   60.7131f   60.7131f
  cgtot     33.9738f   33.9738f  111.2142f  111.2142f
  cstot     38.1539f   38.1539f  125.9796f  125.9796f
  cbtot     26.0242f   26.0242f   89.8190f   89.8190f
  cgs       25.8076f   25.8076f   80.5684f   80.5684f
  cgd        6.6072f    6.6072f   28.0225f   28.0225f
