 **** mosfets


 subckt                                              
 element  0:mn1      0:mn2      0:mp1      0:mp2     
 model    0:nmos214  0:nmos214  0:pmos214  0:pmos214 
 region     Saturati   Saturati   Saturati   Saturati
  id       577.0000u  577.0000u -577.0000u -577.0000u
  ibs        0.         0.         0.         0.     
  ibd        0.         0.         0.         0.     
  vgs      766.9958m  766.9958m -705.3199m -705.3199m
  vds      861.6758m  861.6758m -705.3199m -705.3199m
  vbs     -233.0042m -233.0042m    0.         0.     
  vth      539.3270m  539.3270m -473.2214m -473.2214m
  vdsat    176.2447m  176.2447m -201.7064m -201.7064m
  vod      227.6688m  227.6688m -232.0985m -232.0985m
  beta      26.1364m   26.1364m   22.0171m   22.0171m
  gam eff  584.3389m  584.3389m  536.0068m  536.0068m
  gm         4.6204m    4.6204m    4.5895m    4.5895m
  gds       94.5421u   94.5421u  132.8016u  132.8016u
  gmb        1.0584m    1.0584m    1.4355m    1.4355m
  cdtot     21.3001f   21.3001f   80.9822f   80.9822f
  cgtot     45.3017f   45.3017f  148.4556f  148.4556f
  cstot     50.7881f   50.7881f  168.1033f  168.1033f
  cbtot     34.5234f   34.5234f  119.7571f  119.7571f
  cgs       34.4107f   34.4107f  107.5503f  107.5503f
  cgd        8.8119f    8.8119f   37.4090f   37.4090f
